codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-22,89.45833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-23,88.04166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-24,85.625,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-25,89.33333333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-26,85.125,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-27,87.25,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-28,93.04166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-29,85.04166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-30,93.33333333333331,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-03-31,86.4090909090909,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-01,82.5,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-02,89.375,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-03,90.04166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-04,88.91666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-05,89.625,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-06,92.0,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-07,89.66666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-08,86.29166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-09,89.16666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-10,88.0,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-11,95.79166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-12,90.55555555555556,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-13,86.29166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-14,88.20833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-15,90.125,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-16,89.54166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-17,89.08333333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-18,91.0,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-19,86.83333333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-20,87.0,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-21,86.25,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-22,95.75,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-23,85.41666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-24,90.375,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-25,94.29166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-26,92.20833333333331,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-27,93.625,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-28,87.16666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-29,84.95833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-04-30,90.5,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-01,88.5,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-02,90.79166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-03,88.20833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-04,94.04166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-05,88.0,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-06,87.16666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-07,92.16666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-08,90.75,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-09,86.625,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-10,87.5,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-11,90.375,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-12,96.70833333333331,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-13,90.125,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-14,91.16666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-15,92.20833333333331,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-16,87.58333333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-17,90.125,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-18,87.79166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-19,90.41666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-20,89.45833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-21,89.5,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-22,89.83333333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-23,93.58333333333331,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-24,88.0,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-25,86.875,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-26,88.83333333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-27,89.58333333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-28,90.875,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-29,92.79166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-30,88.625,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-05-31,85.95833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-01,84.95833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-02,85.33333333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-03,90.70833333333331,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-04,88.79166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-05,85.95833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-06,89.20833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-07,86.20833333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-08,92.875,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-09,93.66666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-10,86.91666666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-11,91.79166666666666,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-12,89.875,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-13,92.70833333333331,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-14,84.83333333333333,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-15,87.65,%
0048015010,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,2015-06-16,91.70833333333331,%
